×Ö·û      È¨ÖØ      ±àÂë      
¿Õ×Ö·û    94        001101
¿Õ×Ö·û    1154      110
$         1         1011100000001
(         6         1000000001
)         6         1000000000
,         74        1111001
-         12        100000010
.         47        0011001
0         47        0011000
1         32        10011011
2         30        10011001
3         2         111100011000
4         11        001001101
5         6         0010011001
6         3         111100011001
7         8         1001101001
8         10        1111000111
9         15        100110001
A         34        11110000
B         7         1001101000
C         1         1011100000000
D         4         10011010101
E         17        101110001
F         7         1001100001
G         34        10111001
H         18        111100010
I         40        0010010
J         7         1001100000
L         5         0010011000
M         13        100000011
N         4         10011010100
O         4         10011010111
P         26        10000010
Q         1         1011100000011
R         4         10011010110
S         23        00100111
T         8         1011100001
U         6         1000000011
W         4         10111000001
Y         1         1011100000010
a         555       1110
b         89        001010
c         158       111101
d         237       10010
e         687       000
f         139       101111
g         117       100001
h         235       10001
i         409       0101
k         27        10000011
l         212       00111
m         135       101101
n         425       0111
o         407       0100
p         131       101100
q         5         11110001101
r         415       0110
s         328       11111
t         539       1010
u         129       100111
v         40        0010001
w         90        001011
x         6         1000000010
y         71        1011101
z         40        0010000
